name,est,std
log_selA,2.905,0.075565
log_selA,2.9581,0.054929
log_selA,2.4996,0.039689
log_selA,2.995,0.086713
log_selB,1.4579,0.11227
log_selB,1.6471,0.068239
log_selB,1.2207,0.067006
log_selB,1.4322,0.13157
log_selC,5.2982,0.31713
log_selC,1.592,0.72721
log_selC,2.4567,0.28927
log_selC,2.9933,0.3023
log_qpal,-12.45,0.30184
log_qpal,-11.527,0.32253
log_qpal,-11.842,0.33565
log_qcru,0.24744,0.44018
log_qesp,-13.255,0.13253
log_qarr,-4.8794,0.20863
log_qarr,-12.01,0.45017
log_qarr,-11.413,0.24571
log_qarr,-11.516,0.25835
log_Ro,18.963,0.056552
mu,0.043955,0.21221
mu,0.0064901,0.20933
mu,0.040025,0.20632
mu,-0.047593,0.20898
mu,-0.15501,0.21246
mu,-0.17327,0.20905
mu,-0.22785,0.20212
mu,-0.13356,0.1873
mu,-0.14137,0.17962
mu,-0.12575,0.16977
mu,-0.097349,0.16438
mu,-0.11672,0.16314
mu,0.014003,0.15706
mu,0.033342,0.15383
mu,0.12512,0.15415
mu,0.26356,0.15332
mu,0.29204,0.15331
mu,0.31338,0.15531
mu,0.26026,0.15037
mu,0.28513,0.14944
mu,0.30883,0.14427
mu,0.32327,0.14489
mu,0.31399,0.14272
mu,0.31089,0.14431
mu,0.23366,0.14439
mu,0.17498,0.14862
mu,0.10913,0.15539
mu,0.093754,0.16089
mu,0.06108,0.16891
mu,-0.0081165,0.18169
mu,-0.017636,0.19365
mu,-0.14496,0.21692
mu,-0.17517,0.23834
mu,-0.093602,0.25668
mu,-0.10423,0.28419
mu,-0.076049,0.31268
mu,-0.081331,0.34252
mu,-0.089612,0.36663
mu,-0.060662,0.38276
mu,-0.034039,0.39228
mu,-0.013049,0.39705
mu,-0.0041608,0.39917
log_Farr,-4.8455,0.19184
log_Farr,-2.0147,0.19368
log_Farr,-1.7013,0.18925
log_Farr,-1.8083,0.19387
log_Farr,-1.6541,0.20082
log_Farr,-1.4117,0.20678
log_Farr,-1.5182,0.21164
log_Farr,-1.6827,0.21242
log_Farr,-1.7884,0.21193
log_Farr,-1.4036,0.21124
log_Farr,-1.3861,0.21394
log_Farr,-1.3582,0.21542
log_Farr,-1.2289,0.22102
log_Farr,-1.4031,0.22732
log_Farr,-1.4457,0.23291
log_Farr,-1.1404,0.23886
log_Farr,-1.5497,0.23913
log_Farr,-1.4434,0.23442
log_Farr,-1.7935,0.23527
log_Farr,-1.8037,0.2313
log_Farr,-1.8626,0.22949
log_Farr,-1.9459,0.2294
log_Farr,-1.776,0.23178
log_Farr,-1.7669,0.23604
log_Farr,-1.8956,0.24093
log_Farr,-1.8424,0.23887
log_Farr,-1.6957,0.24246
log_Farr,-1.586,0.23722
log_Farr,-1.619,0.23287
log_Farr,-1.4462,0.23166
log_Farr,-1.4452,0.23124
log_Farr,-1.4618,0.23226
log_Farr,-1.4526,0.23389
log_Farr,-1.3535,0.23587
log_Farr,-1.4751,0.23742
log_Farr,-1.3138,0.23891
log_Farr,-1.3685,0.23759
log_Farr,-1.8315,0.2373
log_Farr,-1.887,0.23272
log_Farr,-1.486,0.23046
log_Farr,-1.5646,0.23357
log_Farr,-1.1736,0.24474
log_Farr,-1.0935,0.26316
log_Fesp,-6.602,0.12909
log_Fesp,-6.6816,0.12902
log_Fesp,-6.4144,0.12863
log_Fesp,-5.1865,0.12734
log_Fesp,-3.9758,0.1252
log_Fesp,-3.6384,0.12334
log_Fesp,-2.6793,0.12128
log_Fesp,-2.2142,0.12025
log_Fesp,-2.5591,0.1225
log_Fesp,-2.3002,0.12309
log_Fesp,-2.6892,0.12608
